Nodo,Degree,Eigenvector,Betweenness,Clustering
49,0.23333333333333334,0.08248063258813192,0.0002207392213755871,0.8571428571428571
51,0.17777777777777778,0.06633839498968479,3.219048984158093e-05,0.95
52,0.11111111111111112,0.0347257496186155,5.893698186227262e-05,0.8222222222222222
54,0.16666666666666669,0.0564012261618886,0.00011062554246977465,0.8666666666666667
55,0.26666666666666666,0.09434417936735631,0.00023799307424613456,0.8840579710144928
56,0.22222222222222224,0.07950116012743581,0.00017132987559911533,0.868421052631579
57,0.2777777777777778,0.09592396992718054,0.00035936588418278406,0.8433333333333334
58,0.22222222222222224,0.0759622326069412,0.00018881539300491667,0.868421052631579
64,0.24444444444444446,0.0879946286318069,0.00016392300148906596,0.8961038961038961
66,0.2,0.07432733984562584,4.770826780114772e-05,0.9411764705882353
67,0.2111111111111111,0.07326563906411712,0.00018705000619965618,0.847953216374269
68,0.18888888888888888,0.06895292141547375,8.949760942886245e-05,0.8970588235294118
69,0.26666666666666666,0.09340968802095326,0.0003011525007055975,0.855072463768116
70,0.11111111111111112,0.04018084018575821,1.4880467738308483e-05,0.9333333333333333
71,0.1,0.036652115467712215,3.230915059878855e-05,0.8888888888888888
72,0.15555555555555556,0.05394277772455243,0.00011179518684432251,0.8241758241758241
74,0.2111111111111111,0.07606503519020806,0.00010834160862753965,0.9181286549707602
75,0.18888888888888888,0.06747121391591249,9.356666024268425e-05,0.9117647058823529
76,0.16666666666666669,0.06251143215902034,2.822211720232745e-05,0.9523809523809523
78,0.18888888888888888,0.06473456375562885,7.002655410895112e-05,0.9264705882352942
79,0.2,0.07135545747611532,0.00010190920387910242,0.9150326797385621
80,0.2,0.06899783161413225,0.0001495514367527985,0.869281045751634
82,0.2111111111111111,0.07631431320690986,9.504105411261314e-05,0.9298245614035088
83,0.2,0.07087439858636388,0.00015749395527910122,0.8562091503267973
84,0.13333333333333333,0.04799054931523883,8.234464287103445e-05,0.8333333333333334
85,0.14444444444444446,0.055226993628876564,4.458712323880863e-06,0.9871794871794872
86,0.2111111111111111,0.07639340541496899,0.0001456131858183873,0.8830409356725146
87,0.11111111111111112,0.03793691064845907,2.219447912331807e-05,0.9333333333333333
88,0.08888888888888889,0.033368995261304185,5.42799761168105e-06,0.9642857142857143
89,0.08888888888888889,0.03349752929231489,4.458712323880863e-06,0.9642857142857143
90,0.06666666666666667,0.023132424423938938,3.900455223205526e-05,0.6666666666666666
